,Title,Sector,Condition,Location,Type
1618,2060오스킨 성형외과의원,사무·원무·코디판매·매장관리 외,"경력 1년↑
고졸↑",서울 강남구,정규직
1619,(주)키르시,사진·포토그라퍼,"1 ~ 2년
학력무관",서울 성동구,정규직
1620,공도스카이학원,입시·보습·속셈학원외국어·어학원,"경력무관
대학교(4년)↑",경기 안성시,정규직
1621,(주)맨파워그룹코리아,물류·유통·운송영업기획·관리·지원,"경력무관
학력무관",경기 고양시 덕양구,계약직
1622,(주)프로에스콤,전기·소방·통신·설비안전·품질·검사·관리,"경력 2년↑
고졸↑",경기 성남시 분당구,계약직
1623,(주)큐리진,총무·법무·사무경리·출납·결산 외,"신입 · 경력
학력무관",서울 성동구,정규직 · 계약직
1624,주식회사 호성국제운송,물류·유통·운송,"1 ~ 3년
학력무관",서울 강서구,정규직
1625,보로노이(주),약사바이오·제약·식품 외,"경력무관
석사↑",인천 연수구,정규직
1626,대성어패럴,물류·유통·운송판매·매장관리,"경력무관
학력무관",경기 화성시,정규직
1627,석세스아카,사무보조·문서작성학습지·과외·방문 외,"경력무관
대학(2,3년)↑",경기 부천시,계약직
1628,(주)우아한,광고·시각디자인컨텐츠·사이트운영 외,"경력 1년↑
학력무관",서울 강서구,정규직
1629,더불어민주당대구광역시당,총무·법무·사무경리·출납·결산,"경력무관
고졸↑",대구 중구,계약직
1630,셀럽성형외과의원,간호조무사,"경력 1년↑
학력무관",경남 창원시,정규직
1631,(주)플래티넘브릿지,마케팅·광고·분석제품·산업디자인 외,"경력무관
학력무관",서울 강남구,정규직
1632,㈜아이비에스,웹개발퍼블리싱·UI개발,"신입 · 경력
대학(2,3년)↑",경기 이천시,정규직 · 프리랜서
1633,(주)라비오뜨,일반영업,"경력 2년↑
학력무관",서울 서초구,정규직
1634,(주)동아수지 정남점,생산·제조·포장·조립,"경력무관
학력무관",경기 화성시,정규직
1635,혜인서(주),마케팅·광고·분석,"경력무관
학력무관",서울 강남구,정규직
1636,케이저,사무보조·문서작성마케팅·광고·분석 외,"신입
학력무관",인천 남동구,정규직
1637,고려세무법인,세무·회계·CPA,"1 ~ 5년
학력무관",서울 서초구,정규직
1638,(주)블리비네트워크,미용·피부관리·애견간호조무사 외,"신입 · 경력
고졸↑",울산 남구,정규직
1639,(주)썬에이치에스티,응용프로그램개발,"신입
학력무관",울산 중구,정규직
1640,레오폴드(주),출판·편집디자인제품·산업디자인 외,"경력 2년↑
대학(2,3년)↑",경기 고양시 일산동구,계약직
1641,(주)스틸뱅크,토목·조경·도시·측량건축·인테리어·설계 외,"신입
고졸↑",경기 고양시 덕양구,정규직
1642,라이징 썬 키즈 스포츠,레저·스포츠전문직업·IT강사 외,"경력무관
학력무관",경기 용인시 기흥구,정규직
1643,(주)SIMPAC 당진공장,생산·제조·포장·조립,"신입 · 경력
고졸↑",충남 당진시,정규직
1644,(주)윈컴솔루션스,경리·출납·결산,"경력무관
고졸↑",서울 영등포구,정규직
1645,정우 성형외과,간호조무사,"경력무관
학력무관",서울 강남구,정규직
1646,(주)비투비,물류·유통·운송구매·자재·재고 외,"경력무관
학력무관",충남 천안시 동남구,정규직
1647,스타우스(주),총무·법무·사무경리·출납·결산 외,"경력무관
학력무관",부산 강서구,정규직
1648,케이엘,건축·인테리어·설계현장·시공·감리·공무 외,"경력 20년↑
학력무관",경기 용인시 수지구,아르바이트
1649,(주)맨파워그룹코리아,총무·법무·사무사무보조·문서작성 외,"경력무관
대학(2,3년)↑",서울 동작구,계약직 · 파견직
1650,펠른,외식·식음료,"경력 1년↑
학력무관",서울 마포구,계약직
1651,디에프피(주),의류·패션·잡화디자인카메라·조명·미술 외,"경력무관
대학(2,3년)↑",서울 강남구,정규직 · 계약직
1652,디자인치과교정과치과의원,의료기사,"경력무관
대학(2,3년)↑",부산 중구,정규직 · 계약직
1653,WH CREATIVE,경리·출납·결산회계·재무·세무·IR,"경력 2년↑
학력무관",서울 강남구,정규직
1654,윌비커뮤니케이션,구매·자재·재고상품기획·MD 외,"경력 1년↑
대학(2,3년)↑",서울 강남구,정규직
1655,(주)거산관광,총무·법무·사무경리·출납·결산 외,"경력무관
학력무관",인천 연수구,정규직
1656,신승회계법인 분사무소,회계·재무·세무·IR세무·회계·CPA,"1 ~ 5년
학력무관",서울 서초구,정규직
1657,지엘루비콘(주),바이오·제약·식품,"1 ~ 2년
고졸↑",경기 안양시 동안구,정규직
1658,(주)맨파워그룹코리아,생산관리·품질관리생산·제조·포장·조립 외,"경력무관
학력무관",경기 김포시,계약직
1659,뷰티몬코리아,마케팅·광고·분석제품·산업디자인 외,"신입 · 경력
학력무관",서울 송파구,정규직
1660,주식회사 BBH컴퍼니,교육기획·교재,"경력무관
대학교(4년)↑",서울 강남구,정규직
1661,(주)협성기전,AS·서비스·수리기계·기계설비 외,"신입 · 경력
학력무관",경기 화성시,정규직
1662,대전대학교산학협력단,총무·법무·사무사무보조·문서작성 외,"경력무관
대학교(4년)↑",대전 동구,계약직
1663,러브비쥐,판매·매장관리TM·아웃바운드 외,"경력무관
대학(2,3년)↑",부산 강서구,정규직 · 계약직
1664,주식회사에스이케이씨,여행·관광·항공영업기획·관리·지원 외,"6 ~ 12년
대학교(4년)↑",서울 강남구,정규직
1665,금수복국 해운대,요리·제빵사·영양사,"신입 · 경력
고졸↑",부산 해운대구,정규직
1666,(주)엔앤피,컨텐츠·사이트운영,"경력무관
대학(2,3년)↑",대구 동구,정규직 · 계약직
1667,주식회사 패리에트,웹기획·PM컨텐츠·사이트운영,"신입 · 경력
대학(2,3년)↑",서울 강남구,정규직
1668,(주)태현엔지니어링,기계·기계설비,"경력 5년↑
학력무관",경기 김포시,정규직
1669,에이본어학원,입시·보습·속셈학원외국어·어학원,"1 ~ 20년
대학교(4년)↑",서울 영등포구,정규직
1670,(주)지켐스,일반영업기술영업,"3 ~ 10년
대학교(4년)↑",서울 노원구,정규직
1671,(주)해인이엔씨,설계·CAD·CAM토목·조경·도시·측량 외,"경력 3년↑
대학교(4년)↑",경기 화성시,정규직
1672,소울하다(인천계양점),호텔·카지노·콘도,"경력무관
학력무관",인천 계양구,정규직
1673,(주)다림개발,중장비·화물호텔·카지노·콘도 외,"신입 · 경력
고졸↑",경기 안성시,정규직
1674,(주)더페이지미디어,마케팅·광고·분석,"1 ~ 3년
대학(2,3년)↑",서울 강남구,계약직
1675,(주)금강웰빙푸드,그래픽디자인·CG,"경력무관
학력무관",충남 천안시 서북구,정규직
1676,(주)피플카,고객센터·CS,"경력 5년↑
학력무관",대전 유성구,정규직
1677,(주)씨에스원파트너,사무보조·문서작성호텔·카지노·콘도 외,"경력무관
고졸↑",부산 중구,계약직
1678,세무회계안암,회계·재무·세무·IR,"2 ~ 20년
고졸↑",서울 서초구,정규직
1679,(주)건축사사무소 백우헌,건축·인테리어·설계,"신입 · 경력
대학(2,3년)↑",서울 영등포구,정규직
1680,바래온(주),그래픽디자인·CG광고·시각디자인 외,"신입 · 경력
학력무관",인천 부평구,정규직 · 인턴직
1681,(주)지앤톡,웹디자인,"경력 2년↑
학력무관",서울 구로구,정규직
1682,레누스로지스틱스코리아(유),물류·유통·운송해외영업·무역영업,"경력 4년↑
대학교(4년)↑",서울 마포구,정규직
1683,(주)디에이에프유,기계·기계설비설계·CAD·CAM,"신입 · 경력
학력무관",충남 천안시 서북구,정규직
1684,(주)에프아이티,경리·출납·결산,"신입
대학(2,3년)↑",서울 송파구,정규직
1685,Plusjun Studios,고객센터·CS카메라·조명·미술,"경력무관
학력무관",서울 성동구,정규직
1686,(주)농협홍삼,상품기획·MD일반영업 외,"4 ~ 12년
대학(2,3년)↑",서울 송파구,계약직
1687,수아로피부과,미용·피부관리·애견간호조무사,"경력무관
학력무관",서울 강남구,정규직 · 아르바이트
1688,학교법인 숭실대학교 숭실호스피탈리티직..,대학교수·행정직,"신입
학력무관",서울 동작구,계약직
1689,㈜에이티랩,일반영업기술영업 외,"신입 · 경력
대학교(4년)↑",경기 수원시 영통구,정규직
1690,스톰데이즈,고객센터·CS웹디자인,"신입 · 경력
학력무관",서울 마포구,정규직
1691,(주)인투그래픽,출판·편집디자인캐릭터·만화·애니 외,"신입 · 경력
대학(2,3년)↑",서울 서초구,정규직
1692,꾸드뱅,요리·제빵사·영양사,"신입 · 경력
학력무관",대전 유성구,정규직
1693,주식회사 티엠디교육그룹,사무보조·문서작성교육기획·교재,"경력무관
대학(2,3년)↑",서울 서초구,정규직 · 계약직
1694,(주)힐로바움,생산·제조·포장·조립,"경력 1년↑
학력무관",경기 김포시,정규직
1695,정진국제특허법률사무소,법률·특허·상표,"경력 2년↑
대학교(4년)↑",서울 구로구,정규직
1696,(주)이피에스이앤이,토목·조경·도시·측량환경·플랜트 외,"경력무관
대학교(4년)↑",경기 안양시 동안구,정규직
1697,(주)밀텍산업,물류·유통·운송구매·자재·재고 외,"신입 · 경력
학력무관",서울 서초구,정규직
1698,슈라앤쇼라,금속·금형,"경력무관
고졸↑",경북 구미시,정규직 · 계약직
1699,세중해운(주),물류·유통·운송해외영업·무역영업 외,"경력
대학(2,3년)↑",서울 중구,정규직
1700,(주)신기사,AS·서비스·수리기술영업,"경력무관
대학(2,3년)↑",서울 서초구,정규직
1701,(주)제임스포워딩,물류·유통·운송,"2 ~ 5년
학력무관",서울 강남구,정규직
1702,NR지엔씨,화학·에너지반도체·디스플레이·LCD 외,"신입 · 경력
석사↑",경기 수원시 영통구,정규직
1703,(주)씨앤씨라이트웨이,기술영업영업기획·관리·지원,"경력무관
대학(2,3년)↑",서울 서초구,정규직
1704,(주)미다인터내셔널,사무보조·문서작성광고·시각디자인 외,"신입 · 경력
학력무관",서울 은평구,정규직
1705,협동조합소이랩,교육기획·교재,"경력무관
학력무관",대구 북구,계약직
1706,(주)씨엔테크,생산관리·품질관리생산·제조·포장·조립,"경력무관
고졸↑",경기 수원시 영통구,정규직
1707,이에이트 주식회사,응용프로그램개발하드웨어·소프트웨어,"경력무관
대학교(4년)↑",서울 송파구,정규직 · 계약직
1708,(주)스토리앤미디어,홍보·PR·사보사무보조·문서작성 외,"신입
대학교(4년)↑",서울 강남구,정규직
1709,아이스토리지,물류·유통·운송,"경력 3년↑
학력무관",경기 고양시 일산동구,정규직
1710,씨제이푸드빌(주),요리·제빵사·영양사생산·제조·포장·조립,"신입
고졸↑",충북 음성군,정규직
1711,굿앤파트너스(주),물류·유통·운송구매·자재·재고 외,"경력 1년↑
고졸↑",경기 김포시,정규직
1712,아네토,판매·매장관리영업기획·관리·지원,"경력 2년↑
대학(2,3년)↑",부산 해운대구,정규직
1713,(주)맨파워그룹코리아,비서·안내·수행원사무보조·문서작성,"경력무관
대학(2,3년)↑",서울 강남구,계약직 · 파견직
1714,파이데이아학원,입시·보습·속셈학원,"2 ~ 15년
대학교(4년)↑",인천 남동구,정규직
1715,(주)에스텍플러스,중장비·화물,"경력무관
학력무관",경북 성주군,정규직
1716,오쎄,외식·식음료,"경력무관
학력무관",서울 서초구,정규직
1717,프뢰챕터교육,학습지·과외·방문,"경력무관
대학교(4년)↑",대전 서구,프리랜서
1718,K1시스템,경리·출납·결산회계·재무·세무·IR 외,"3 ~ 7년
대학(2,3년)↑",대구 수성구,정규직
1719,퍼펙트영어학원,외국어·어학원,"경력 1년↑
대학(2,3년)↑",서울 강서구,정규직 · 파트
1720,㈜커리어텍,사무보조·문서작성외국어·번역·통역,"신입 · 경력
대학(2,3년)↑",경기 성남시 분당구,파견직
1721,짱베이스볼(주),물류·유통·운송,"경력무관
학력무관",경기 안산시 상록구,정규직
1722,루트 인터내셔널 주식회사,안내·도우미·나레이터호텔·카지노·콘도,"경력무관
고졸↑",서울 동대문구,정규직 · 계약직
1723,(주)에스텍플러스,물류·유통·운송생산·제조·포장·조립,"경력무관
학력무관",경기 파주시,정규직
1724,(주)서울아카데미,초중고·특수학교학원관리·운영·상담 외,"경력무관
대학교(4년)↑",서울 강남구,정규직 · 계약직
1725,(주)건축사사무소 백우헌,건축·인테리어·설계,"신입 · 경력
대학(2,3년)↑",서울 영등포구,정규직
1726,대영네트웍스(주),인사·교육·노무판매·매장관리,"신입 · 경력
학력무관",서울 강서구,정규직
1727,나이스플러스(주),기획·전략·경영그래픽디자인·CG 외,"신입 · 경력
대학(2,3년)↑",서울 마포구,정규직 · 계약직
1728,일중학원,입시·보습·속셈학원,"신입 · 경력
대학교(4년)↑",울산 중구,전임 · 계약직
1729,청어람국어학원,입시·보습·속셈학원,"1 ~ 2년
대학교(4년)↑",인천 연수구,정규직
1730,(주)제일메디칼코퍼레이션,총무·법무·사무생산·제조·포장·조립 외,"경력무관
대학교(4년)↑",서울 구로구,정규직
1731,(주)동성티씨에스,화학·에너지생산·제조·포장·조립,"경력무관
학력무관",경남 김해시,정규직
1732,풍원환전소,외국어·번역·통역,"신입 · 경력
대학교(4년)↑",서울 구로구,계약직
1733,프리미엄수학학원,입시·보습·속셈학원학원관리·운영·상담 외,"경력무관
대학(2,3년)↑",부산 사하구,정규직
1734,하나이앤씨,설계·CAD·CAM,"경력 3년↑
고졸↑",경기 시흥시,정규직
1735,엘라까르떼(ella carte),광고·시각디자인,"3 ~ 10년
대학(2,3년)↑",서울 성동구,정규직
1736,㈜맥엔드엠이씨,설계·CAD·CAM전기·소방·통신·설비,"경력 3년↑
대학(2,3년)↑",서울 구로구,정규직
1737,에스티테크놀로지(주),구매·자재·재고영업기획·관리·지원,"신입 · 경력
대학교(4년)↑",부산 사상구,정규직
1738,(주)씨케이파트너스,기획·전략·경영홍보·PR·사보,"2 ~ 5년
대학(2,3년)↑",강원 원주시,정규직
1739,학교법인 숭실대학교 숭실호스피탈리티직..,대학교수·행정직,"신입
학력무관",서울 동작구,계약직
1740,(주)놀부,생산관리·품질관리생산·제조·포장·조립 외,"신입 · 경력
학력무관",충북 음성군,정규직
1741,씨엔티컴포넌츠(주),구매·자재·재고,"경력무관
학력무관",서울 강남구,정규직
1742,(주)가디언어학원,입시·보습·속셈학원외국어·어학원,"경력무관
대학교(4년)↑",서울 마포구,계약직
1743,(주)이에스티,기술영업,"신입 · 경력
대학교(4년)↑",경기 오산시,정규직
1744,(주)대진소재,경리·출납·결산회계·재무·세무·IR 외,"신입 · 경력
대학교(4년)↑",서울 영등포구,정규직 · 계약직
1745,(주)큐리진,총무·법무·사무경리·출납·결산 외,"신입 · 경력
학력무관",서울 성동구,정규직 · 계약직
1746,(주)소키씨앤티,마케팅·광고·분석그래픽디자인·CG 외,"신입 · 경력
대학(2,3년)↑",서울 서초구,정규직
1747,(주)맨파워그룹코리아,경리·출납·결산사무보조·문서작성 외,"2 ~ 5년
학력무관",서울 강남구,정규직
1748,피플콤,사무보조·문서작성마케팅·광고·분석,"경력무관
대학(2,3년)↑",서울 서초구,정규직
1749,(주)쎄미엠,반도체·디스플레이·LCD,"경력무관
학력무관",경기 화성시,정규직
1750,디에비뉴의원,미용·피부관리·애견,"경력무관
학력무관",광주 서구,정규직
1751,(주)태원엔터테인먼트,총무·법무·사무경리·출납·결산 외,"신입 · 경력
대학(2,3년)↑",서울 강남구,정규직
1752,삼일회원권거래소,회계·재무·세무·IR마케팅·광고·분석,"경력무관
학력무관",서울 송파구,정규직
1753,(주)제이케이투자그룹,경영분석·컨설턴트증권·투자·펀드·외환,"신입 · 경력
학력무관",서울 도봉구,정규직
1754,청정원상사,납품·배송·택배,"경력무관
고졸↑",울산 북구,정규직
1755,(주)퍼스타,총무·법무·사무경리·출납·결산 외,"신입 · 경력
학력무관",경기 용인시 기흥구,정규직
1756,(주)비책,마케팅·광고·분석작가·시나리오 외,"신입 · 경력
학력무관",서울 강남구,정규직
1757,비버건축사사무소,건축·인테리어·설계,"경력 1년↑
대학교(4년)↑",경기 안양시 동안구,정규직
1758,(주)위드씨엠에스,요리·제빵사·영양사,"경력무관
학력무관",경기 평택시,정규직 · 계약직
1759,(주)데이터메이커,기획·전략·경영웹기획·PM 외,"경력무관
학력무관",대전 유성구,계약직
1760,(주)땡큐파머,마케팅·광고·분석,"경력 1년↑
대학(2,3년)↑",서울 금천구,정규직
1761,(주)하나피앤씨,총무·법무·사무경리·출납·결산 외,"신입
학력무관",경기 시흥시,정규직 · 인턴직
1762,(주)마인드허브,웹개발응용프로그램개발,"경력 3년↑
학력무관",경기 안양시 동안구,정규직
1763,김승리국어,학원관리·운영·상담,"경력무관
대학(2,3년)↑",대구 수성구,정규직
1764,용방물류(주),경리·출납·결산,"신입 · 경력
고졸↑",서울 송파구,정규직
1765,(주)부국산업개발,중장비·화물기계·기계설비 외,"경력무관
학력무관",경북 경산시,정규직 · 계약직
1766,태경농산㈜,일반영업,"경력 5년↑
대학(2,3년)↑",서울 동작구,정규직
1767,농업회사법인(주)한우물,물류·유통·운송구매·자재·재고 외,"경력무관
학력무관",전북 김제시,정규직
1768,(주)SPC삼립,생산·제조·포장·조립바이오·제약·식품,"신입
고졸↑",충북 청주시 흥덕구,정규직
1769,주식회사진일인텍,생산관리·품질관리반도체·디스플레이·LCD 외,"경력무관
학력무관",경기 화성시,정규직
1770,(주)조은사람,사무보조·문서작성TM·인바운드 외,"경력 2년↑
고졸↑",서울 중구,파견직
1771,(주)온카드시스템,총무·법무·사무경리·출납·결산 외,"경력무관
대학(2,3년)↑",경기 부천시,정규직
1772,(주)해인이엔씨,설계·CAD·CAM토목·조경·도시·측량 외,"경력 3년↑
대학교(4년)↑",경기 화성시,정규직
1773,이지솔루션,웹개발데이터베이스·DBA,"경력무관
학력무관",서울 성동구,정규직
1774,(주)아토컴퍼니,일반영업영업기획·관리·지원,"경력 1년↑
고졸↑",서울 강남구,정규직 · 계약직
1775,(주)인텍에프에이,전기·전자·제어하드웨어·소프트웨어 외,"신입 · 경력
대학교(4년)↑",경기 용인시 기흥구,정규직 · 병역특례
1776,강의하는 아이들 수학학원,입시·보습·속셈학원,"경력무관
대학교(4년)↑",부산 해운대구,정규직 · 파트
1777,금방(주),광고·시각디자인웹디자인,"경력무관
학력무관",서울 종로구,정규직
1778,(주)비케이씨,화학·에너지생산·제조·포장·조립,"경력무관
학력무관",경기 화성시,정규직
1779,A월드농기계 농자재할인마트,물류·유통·운송기계·기계설비,"신입 · 경력
학력무관",경북 성주군,정규직
1780,(주)와이유엘,웹디자인사진·포토그라퍼,"1 ~ 2년
대학(2,3년)↑",경기 안산시 단원구,정규직 · 계약직
1781,(주)엘엔케이로직코리아,웹개발,"경력 3년↑
학력무관",서울 강남구,정규직
1782,(주)바닐라데이즈,총무·법무·사무경리·출납·결산 외,"경력무관
대학(2,3년)↑",서울 강서구,정규직
1783,운동에반하다,레저·스포츠,"경력무관
학력무관",경기 용인시 기흥구,프리랜서
1784,(주)실트렌드,기술영업화학·에너지,"경력무관
학력무관",경기 용인시 기흥구,정규직
1785,(주)벨라씨앤씨,마케팅·광고·분석제품·산업디자인 외,"경력무관
학력무관",서울 종로구,정규직
1786,GDA 주니어 어학원,유치원·보육외국어·어학원,"경력무관
대학교(4년)↑",경기 성남시 분당구,정규직
1787,(주)대유푸드,생산관리·품질관리바이오·제약·식품 외,"경력 3년↑
대학(2,3년)↑",충북 청주시 흥덕구,정규직
1788,(주)중앙제이유엠피,총무·법무·사무경리·출납·결산 외,"경력무관
고졸↑",광주 서구,계약직 · 파견직
1789,아나덴 슈가링왁싱 연신내역점,미용·피부관리·애견,"경력무관
학력무관",서울 은평구,프리랜서
1790,(주)맨파워그룹코리아,마케팅·광고·분석웹기획·PM 외,"경력무관
대학(2,3년)↑",서울 강남구,계약직 · 파견직
1791,(주)에스텍플러스,물류·유통·운송생산관리·품질관리 외,"경력무관
학력무관",경기 김포시,정규직 · 계약직
1792,(주)중앙제이유엠피,총무·법무·사무경리·출납·결산 외,"경력무관
학력무관",서울 마포구,계약직 · 파견직
1793,현대전기조명(주),전기·소방·통신·설비,"경력무관
학력무관",경북 경주시,정규직
1794,(주)엘브라운학원,학원관리·운영·상담,"경력 1년↑
대학(2,3년)↑",서울 서초구,정규직
1795,(주)넥스트랩,고객센터·CS웹마스터·QA·테스터,"경력무관
대학(2,3년)↑",서울 서초구,정규직
1796,㈜쟈뎅,마케팅·광고·분석,"경력 5년↑
대학교(4년)↑",서울 강남구,정규직
1797,오리애드,광고영업TM·아웃바운드 외,"신입 · 경력
학력무관",대전 서구,계약직
1798,(주)와이낫애드컴퍼니,마케팅·광고·분석,"경력 2년↑
학력무관",서울 용산구,정규직
1799,(주)단석산업 군산1공장,기계·기계설비환경·플랜트,"신입 · 경력
대학교(4년)↑",전북 군산시,정규직
1800,(주)제스트릭스,물류·유통·운송해외영업·무역영업 외,"경력무관
대학교(4년)↑",서울 서초구,정규직
1801,(주)에프원텍,생산·제조·포장·조립,"경력무관
학력무관",경기 화성시,정규직
1802,세주세무회계 세무사 최용호,회계·재무·세무·IR세무·회계·CPA,"신입 · 경력
학력무관",서울 강남구,정규직
1803,(주)한생연,마케팅·광고·분석,"경력무관
대학교(4년)↑",경기 수원시 영통구,정규직
1804,(주)바이오파머,바이오·제약·식품,"경력무관
석사↑",경북 포항시 남구,정규직
